"id","n","label","parent"
"total -  Romance  -  Indonesia","107","Indonesia","total -  Romance"
"total -  Sci Fi  -  Indonesia","43","Indonesia","total -  Sci Fi"
"total -  Thriller  -  Indonesia","79","Indonesia","total -  Thriller"
"total -  Action  -  Ireland","142","Ireland","total -  Action"
"total -  Adventure  -  Ireland","132","Ireland","total -  Adventure"
"total -  Animation  -  Ireland","63","Ireland","total -  Animation"
"total -  Comedy  -  Ireland","213","Ireland","total -  Comedy"
"total -  Crime  -  Ireland","123","Ireland","total -  Crime"
"total -  Documentary  -  Ireland","34","Ireland","total -  Documentary"
"total -  Drama  -  Ireland","291","Ireland","total -  Drama"
"total -  Mystery  -  Ireland","36","Ireland","total -  Mystery"
"total -  Romance  -  Ireland","90","Ireland","total -  Romance"
"total -  Thriller  -  Ireland","53","Ireland","total -  Thriller"
"total -  Action  -  Israel","187","Israel","total -  Action"
"total -  Adventure  -  Israel","117","Israel","total -  Adventure"
"total -  Animation  -  Israel","50","Israel","total -  Animation"
"total -  Comedy  -  Israel","178","Israel","total -  Comedy"
"total -  Crime  -  Israel","125","Israel","total -  Crime"
"total -  Documentary  -  Israel","36","Israel","total -  Documentary"
"total -  Drama  -  Israel","330","Israel","total -  Drama"
"total -  Romance  -  Israel","87","Israel","total -  Romance"
"total -  Sci Fi  -  Israel","41","Israel","total -  Sci Fi"
"total -  Thriller  -  Israel","73","Israel","total -  Thriller"
"total -  Action  -  Italy","171","Italy","total -  Action"
"total -  Adventure  -  Italy","89","Italy","total -  Adventure"
"total -  Comedy  -  Italy","179","Italy","total -  Comedy"
"total -  Crime  -  Italy","152","Italy","total -  Crime"
"total -  Drama  -  Italy","364","Italy","total -  Drama"
"total -  Fantasy  -  Italy","37","Italy","total -  Fantasy"
"total -  Mystery  -  Italy","69","Italy","total -  Mystery"
"total -  Romance  -  Italy","94","Italy","total -  Romance"
"total -  Sci Fi  -  Italy","38","Italy","total -  Sci Fi"
"total -  Thriller  -  Italy","59","Italy","total -  Thriller"
"total -  Action  -  Jamaica","227","Jamaica","total -  Action"
"total -  Adventure  -  Jamaica","123","Jamaica","total -  Adventure"
